project,location,status,cost,notes
Gigafactory 1,"Reno, Nevada",Under Construction,"$5,000,000,000",6.3 Blocks (30%) of the total 21 Blocks of the factory Completed and the remaining 14.7 Blocks to be completed by 2020.
Globe Life Field,"Arlington, Texas",Completed,"$1,100,000,000",This retractable-roof stadium opened in 2020 as the new home of the Texas Rangers.[42]
Gordie Howe International Bridge,"Detroit, Michigan-Windsor, Ontario, Canada",Under Construction,"$5,700,000,000","The project was first proposed in 2004. Construction started in 2018 and is expected to be completed in 2024. The Windsor-Detroit crossing is the busiest crossing between the US and Canada and is currently handled by the Ambassador Bridge, the Windsor-Detroit Tunnel and the Michigan Central Railway Tunnel. The Gordie Howe Bridge will add needed capacity to these crossings."
Gotthard Base Tunnel,"Bodio, Canton of Ticino (End) & Erstfeld, Canton of Uri (Start)",Completed,"CHF 9.560 billion ≈ $10,300,000,000","At 57 km, the World's longest and deepest rail tunnel upon its Completion in 2015."
Grand Ethiopian Renaissance Dam,Benishangul-Gumuz Region,Under Construction,"$4,800,000,000",The dam is located on the Blue Nile River in Ethiopia.  Construction began in 2011 and is expected to be completed sometime between 2020 and 2022.
Green Costa Rican Canal,,,,
Greenwich Peninsula,"London, England",Under Construction,"£8,000,000,000",Entire project to be completed by the 2030s.
Gujarat International Finance Tec-City,India,Under Construction,"$20,000,000,000","The smart city is being built as a global financial hub to provide world class infrastructure for the Indian financial industry to grow.[132]  It aims to outclass France's La Défense, Tokyo's Shinjuku and London's London Docklands in every aspect.[133]"
Gwadar International Airport,Gwadar,Under Development,"$400,000,000","A New Gwardar International Airport is being built and will be biggest when completed in 2022. Occupying 4,300 acres (17 km²) of land, it is located in Gurandani, 26km north-east of the existing airport in Gwadar City on Arabian Sea coast of Balochistan region expected to cost $246 million."
Gwadar Smart City,Gwadar,Under Development,"Pakistan and China announced their intention to develop the $46 billion China–Pakistan Economic Corridor (CPEC), which in turn forms part of China's ambitious One Belt, One Road. Gwadar features heavily in CPEC, and is also envisaged to be the link between the One Belt, One Road and Maritime Silk Road project. $1.153 billion worth of infrastructure projects will be invested into the city as part of CPEC, with the aim of linking northern Pakistan and western China to the deep water seaport. The city will also be the site of a floating liquefied natural gas facility that will be built as part of the larger $2.5 billion. In addition to investments directly under the aegis of CPEC in Gwadar city, the China Overseas Port Holding Company began construction on the $2 billion Gwadar Special Economic Zone, which is being modelled on the lines of the Special Economic Zones of China.
It will a well-planned Smart and Modern City with multi-billion dollars projects by public and private sector.",
HafenCity,Hamburg,Under Development,Completion expected in 2020–2030,
High Speed 2,England,Under Construction,"$96,000,000,000","Completion planned for 2026 (phase 1), 2033 (phase 2)"
High Speed 3,England,Planned,"$19,000,000,000",Completion planned for 2033
High-speed rail in Thailand,"Central, Western and Southern Thailand",Proposed,"$30,000,000,000",Consists of four proposed corridors with international extensions to Laos and Malaysia.
Hong Kong-Zhuhai-Macao Bridge (HKZMB),Pearl River Delta,Completed,"$10,600,000,000",Opened in 2018.
Hudson Yards Redevelopment Project,"Manhattan, New York City, New York",Under Construction,"$20,000,000,000",A mixed-use real estate development currently being built over the 28-acre West Side Rail Yard.
Hyderabad Metro Rail,"Hyderabad, Telangana",Under Construction,"$2,500,000,000+",To respond to the rising public transport need and mitigate escalating vehicular traffic. Partially opened in 2017[62] and phase 1  is Operational from November 2019.[63][64]
Hyperloop,India,,,"Currently, India is the only country that is officially pursuing the hyperloop technology for Pune-Mumbai corridor.[73]
Also,with this India several other plan such as Hyperloop Transportation Technologies are in process to sign a Letter of Intent with the Indian Government for a proposed route between Chennai and Bengaluru. If things go as planned, the distance of 345 km could be covered in 30 minutes.[74] HTT also signed an agreement with Andhra Pradesh government to build India's first Hyperloop project connecting Amaravathi to Vijayawada in a 6-minute ride . Also,Indore-based Dinclix GroundWorks' DGWHyperloop advocates a Hyperloop corridor between Mumbai and Delhi, via Indore, Kota, and Jaipur.[75]"
Incheon International Airport,Incheon,Completed,"$5,000,000,000+","Construction of Phase 1 began in November 1992.[60]  Phase 1 of the project opened 22 March 2001, after 8 years of construction and 6 additional months of testing of the systems as well as the runways."
Incheon International Airport Phase 2,Incheon,Completed,"$4,600,000,000","Construction of Phase 2 began in February 2002 and was completed 20 June 2008 prior to the 2008 Summer Olympics in Beijing, China.[60]"
Incheon International Airport Phase 3,Incheon,Completed,"$4,500,000,000",Construction of Phase 3 began in September 2013 and has been split into 2 phases itself.[60]  Phase 3 was completed in 2016 ahead of the 2018 Winter Olympics in Pyeongchang.
Incheon International Airport Phase 4[61],Incheon,Under Construction,"$3,700,000,000","Construction of Phase 4 begins 2019 with the expansion of Terminal 2 and construction of an additional runway, which is expected to be completed by 2025."
Intracoastal Waterway,"Boston, Massachusetts to Brownsville, Texas","A 3,000-mile (4,800 km) inland waterway along the Atlantic and Gulf of Mexico coasts of the United States, running from Boston, Massachusetts, southward along the Atlantic Seaboard and around the southern tip of Florida, then following the Gulf Coast to Brownsville, Texas.",,
Ionia Odos,Greece,Completed,"$1,240,000,000","Construction began in 2006, and a total of 196 kilometres (122 mi) of motorways running north–south through Western Greece, from Ioannina to the Rio-Antirio Bridge, were built.[102] The project had a budget of over €1.1 billion.[102]"
Iran Mall,"Tehran, Iran",Under Construction,"The project spans more than 1.6 million square meters that includes shopping mall, two tower, two 5 star hotels, and a lake.[144]",
Irish Sea Bridge,Scotland/Northern Ireland,Planned,"$20,000,000,000",Completion planned for 2030s[citation needed]
Iskandar Malaysia,Johor Bahru,Under Construction,"$100,000,000,000",
Islamabad,Islamabad,Completed,The new capital city of Pakistan. A planned city located on north of Rawalpindi. The city has population of 2.2 million.[134],
İstanbul Finance Center,İstanbul,Under Development,"$5,000,000,000",Apart from the main urban renewal project of İstanbul. It will station in Ataşehir
Jakarta MRT,Jakarta,Completed,"$2,860,000,000","Currently consists of one line (North-South Line) and divided into two phases. Phase 1 was opened in March 2019, extensions of this line under Phase 2 shall open by 2024, and a second line (East-West) is expected by 2026."
Jakarta–Bandung–Kertajati HSR,Java,Under Construction,"$5,500,000,000",
Japan's Maglev High-Speed Rail (Chūō Shinkansen),"Tokyo–Nagoya–Osaka, Japan",Under Construction,"$85,000,000,000","JR Central aims to begin commercial service between Tokyo and Nagoya in 2027, with the Nagoya–Osaka section to be completed by 2037."
Jeddah Economic City,Jeddah,Under Construction,"$20,000,000,000","Will host both commercial and residential development including homes, hotels, and offices. The centerpiece of the development project will be the $1.2 Billion Jeddah Tower, a tower planned to become the tallest in the world."
JFK Airport Redevelopment,"Queens, New York City, New York",Proposed,"$13,000,000,000","Plan to rebuild passenger facilities and approaches to JFK Airport. Two new international terminals would be added. If approved, construction is expected to begin in 2020."
Jubail City Center,Jubail,Under Construction,"$80,000,000,000",Jubail will be the biggest industrial city in the world and is expected to be Completed in 2026.
Jumeirah Garden City,Dubai,On-Hold,"$95,000,000,000",Will be built across an area north of Sheikh Zayed Road between Diyafa Street and Safa Park.
Kamaishi Tsunami Protection Breakwater,"Kamaishi, Iwate",Completed,"$1,500,000,000","Completed in March 2009, it soon became the tsunami barrier that failed to protect Kamaishi during the 2011 Tōhoku earthquake and tsunami."
Karachi Circular Railway,Karachi,Under Development,"$1,600,000,000","Revival of the Karachi Circular Railway which became operational in 1969. It discontinued in 1999 as a result of mismanagement. In 2012, the governments on Pakistan and Sindh agreed to revive the railway to meet the needs of Karachi citizens. The project includes 23 stations, 3 lines and a total of over 50 kilometers of track. The government of Pakistan will have a 60% share in the project, Sindh will have a 25% share and Karachi will have a 15% share. Once completed, it will once again be Pakistan's largest local train."
Karachi Metrobus,Karachi,Under Construction,"$400,000,000","A new rapid transit system in Karachi. Includes Green Line, Orange Line, Red Line, Blue Line, and Yellow Line. The length is about 115 kilometers and will become the largest metro bus system in Pakistan. The Green and Orange lines are under construction while the other ones are proposed for construction."
Karachi–Lahore Motorway,Multiple Provinces,Completed,"$6,600,000,000","The Karachi–Lahore Motorway (KLM) is a 1,694-kilometre-long (1,053 mi) under construction six-lane, high-speed, limited-access motorway that will connect Karachi and Peshawar through Islamabad, Lahore, Multan and Sukkur
KLM is divided into seven sections: Karachi-Hyderabad (M-9, 136 km); Hyderabad-Sukkur (M-6, 296 km); Sukkur-Multan (M-5, 387 km); Multan-Abdul Hakeem (M-4, 103 km); Abdul Hakeem-Lahore (M-3, 230 km); Lahore-Islamabad (M2, 376 km); and Islamabad-Peshawar (M1, 166 km)."
Karachi–Peshawar Railway Line ML-1,Multiple Provinces in Pakistan,Under Development,"$7,000,000,000","Karachi–Peshawar Railway Line (also referred to as Main Line 1 or ML-1) is one of four main railway lines in Pakistan, operated and maintained by Pakistan Railways. The total length of this railway line is 1,687 kilometers (1,048 mi). There are 184 railway stations from Kiamari to Peshawar Cantonment on this line. The line serves as the main passenger and freight line of the country. 75% of the country's cargo and passenger traffic uses the line. The line is currently undergoing a six-year ₨886.68 billion (US$7.4 billion) upgrade and renovation as part of the China Pakistan Economic Corridor, with average rail speeds expected be doubled to 160 kilometers per hour upon completion."
Khazar Islands,Azerbaijan,Under Construction,"$100,000,000,000","Artificial archipelago 25 km (16 mi) south of Baku, Azerbaijan consisting of 41 islands spreading 3,000 hectares (about 11.6 sq mi) over the Caspian Sea. Expected to be finished by 2020–2025, and house a population of 1 million."
King Abdulaziz Airport Expansion,Jeddah,Completed,"$7,200,000,000",Completed on 1 January 2019.
King Abdullah Economic City,Saudi Arabia,Under Construction,"$100,000,000,000",Currently in various stages of Construction and Completion stages.
King Abdullah Financial District,Riyadh,Under Construction,"$78,000,000,000",About a fifth (Phase 1) of the project is completed.
KL River City,Kuala Lumpur,In Development,"$11,638,736,500",Rehabilitation project along the Gombak River.[143]
Klang Valley Mass Rapid Transit Project,Kuala Lumpur,Under Development,"$50,000,000,000",A part of another mega project to transform Malaysia and Kuala Lumpur into one big Megapolis called as Greater Kuala Lumpur.
Konza Technology City,Konza,Under Construction,"$14,500,000,000",
Kuwait International Airport Passenger Terminal 2[88],Kuwait City,Under Construction,"$4,310,182,400",Construction began in May 2017 to expand the capacity of the airport.  Expected to be Completed in 2022.
La Défense (1958–2014),CourbevoieNanterrePuteaux,Completed,"$10,000,000,000+","The Central Business District of the Paris Metropolitan area, La Défense provides France with a modern set of skyscrapers while Paris itself retains most of its original architecture and character."
La Défense (2016–Present),CourbevoieNanterrePuteaux,Under Construction,"$1,000,000,000+","The Central Business District of the Paris Metropolitan area, La Défense provides France with a modern set of skyscrapers while Paris itself retains most of its original architecture and character. This current round of the project includes modernize, refurbish and green the area."
Lagos Rail Mass Transit,"Lagos, Lagos",Under Construction,"$3,600,000,000","The Lagos Rail Mass Transit is an urban rail system being developed and under construction in Lagos. The system is envisioned to consist eventually of seven lines.[57] The railway equipment including electric power, signalling, rolling stock, and fare collection equipment will be provided by the private sector under a Concession Contract, while LAMATA is responsible for policy direction, regulation, and infrastructure for the network. The first section of the network, Phase I of the Blue Line, was originally planned to be completed in 2011. After many delays caused by funding shortfalls, the opening date was revised to 2022.[58]"
Lagos–Calabar Railway,"From Lagos, Lagos to Calabar, Cross River",Under Development,"$11,920,000,000","The Lagos–Calabar Railway is a planned standard gauge railway that will run from Lagos through to Calabar.  The first phase of the project (Calabar-Port Harcourt) is expected to be completed by 2018. The total length of the rail will be 1,402 kilometres.[55][needs update]"
Lagos–Kano Standard Gauge Railway,"From Lagos, Lagos to Kano, Kano State",Under Construction,"$8,300,000,000","The Lagos–Kano Standard Gauge Railway is a standard gauge railway across Nigeria, from the port of Lagos to Kano, near the Niger border.  The railway will run parallel to the British-built Cape gauge line, which has a lower design capacity and is in a deteriorated condition. The Abuja-Kaduna route is completed and operational, whilst the Lagos-Ibadan route is underconstruction, and several other routes are underdevelopment. The total length of the rail will be 2,733 kilometres.[56]"
LaGuardia Airport Project,"Queens, New York City, New York",Under Construction,"$8,000,000,000",A complete retrofit of the entire airport slated to be completed by 2022.
Lakhta Center,"Lakhta, Saint Petersburg",Completed,"$2,500,000,000","Replaces the Okhta Center, which was cancelled due to official objections of UNESCO World Heritage Committee."
Lancaster New City Zone 1 and Zone 2,Cavite,Under Construction,"2,000 hectare planned community in Cavite",
LAPSSET Corridor Program,Lamu,Under Construction,"$13,000,000,000",
LDA City,Lahore,Under Development,"LDA City is the biggest housing society project ever undertaken by LDA,[141] and is the largest housing society in Punjab, Pakistan. The city is to be built on a 3,059 hectares (7560 acres) piece of virgin land located several kilometers south of Lahore.",
Lekki,Lagos State,Under Construction,"A peninsula city which is 755 square kilometres. Lekki Phase 1 has been completed and it currently houses several Estates and gated residential developments; other phases of the project include, areas allocated for a Free Trade Zone, with an airport, and a sea port under construction. The proposed land use master plan for the Lekki envisages the Peninsula as a ""Blue-Green Environment City"", expected to accommodate well over 3.4 million residential population and an additional non-residential population of at least 1.9 million.[130]",
Lekki Port,"Lekki, Lagos State",Under Construction,"$1,650,000,000","The Port at Lekki is a new seaport in Lekki, and construction commenced in 2015. The port is planned to be developed in phases to meet the growing demand; phase one opened in 2018.[167] The port is financed by private investors and a consortium of banks who have funded the project with $1.65 billion so far.[168]"
Levi's Stadium,"Santa Clara, California",Completed,"$1,300,000,000($1.4 billion in 2019 dollars[43])",An open-air stadium that opened in 2014 as the new home of the San Francisco 49ers.[47]
Lincoln Yards Project,"Chicago, Illinois",Approved,"$6,000,000,000",The development of 55 acres of riverfront land in Chicago.
Line 5 Eglinton,"Toronto, Ontario",Under Construction,"$9,100,000,000",Set for Completion in 2021.[108]
Lippo Cikarang,Greater Jakarta,Completed,"$18,750,000,000","Lippo Cikarang is an industrial park with an area of 332 hectares, which also has apartment, hotel, office, shopping center, retail, school and university, hospital, convention center and other supporting facilities."
London Crossrail Project,"London, England",Under Construction,"$26,000,000,000",Entire project to be completed by 2021.
Long Thang International Airport Phase 2,Ho Chi Minh City,In Development,This phase will begin in 2025 after Phase 1 is completed and the airport opens that same year.  Phase 2 will see the construction of a 3rd runway and expansion of the 1st Terminal or construction of a 2nd Terminal to increase passenger capacity to 50 million passengers.  Phase 2 is expected to be completed by 2035.,
Long Thang International Airport Phase 3,Ho Chi Minh City,In Development,This phase will begin in 2035 after Phase 2 is completed and the airport opens that same year.  Phase 3 will see the construction of a 4th runway with the possibility of another terminal or additional concourses to increase passenger capacity up to 100 million passengers.  Phase 3 is expected to be completed sometime after 2035.,
Long Thanh International Airport,Ho Chi Minh City,Under Construction,"$7,800,000,000",This first phase of the project has begun construction in 2019 and is being split into 3 sub-phases.  Sub-Phase 1A will see the construction of one terminal and one runway ($5.6 Billion allocated to this sub-phase) to be completed by 2023.  Sub-Phase 1B will be the construction of a 2nd runway starting in 2023 and be completed in 2025.  Sub-Phase 1C will be the construction of the remaining facilities and land-clearance for future phase to begin and finish in 2025.
Los Angeles International Airport,"Los Angeles, California",Under Construction,"$14,000,000,000",
Lusail,Al Daayen Municipality,Under Development,"$45,000,000,000","Planned to be a host city of the 2022 FIFA World Cup, planned population of 260,000 people"
M8 motorway (Scotland),"Glasgow, Scotland",Completed,"£30,000,000",Most completed by 1980.
Madinat al-Hareer,Kuwait,Under Development,"$632,000,000,000","Proposed 250 km2 (62,000-acre) planned urban area in Subiya, Kuwait an area just opposite Kuwait City across Kuwait Bay."
Madinaty,Cairo Governorate,Under Construction,"$10,000,000,000",Housing project.[118]
Madrid New North,Madrid,Approved,"$10,550,000,000","A mega urban project that aims to expand the existing Paseo de la Castellana by creating an extension of itself, it would include a large business center, 10,500 homes, multiple skyscrapers, and more than 200,000 jobs. The project will be fully approved this December, it is believed that it could increase regional wealth by 7.3%, and national wealth by up to 1.4%."
Malir Expressway,Karachi,Under Development,"$400,000,000",A 40.3 km three lane Expressway with controlled access along the Malir River in Karachi. It starts at the Qayumanbad Bridge and ends at the Karachi-Hyderabad Motorway (M-9). The project would cost around Rs40 billion. Construction is ordered to start in mid-2019.
Mall of the World,Dubai,Under Construction,"$6,806,425,500",To be located along the Sheikh Mohammed bin Zayed Road and set to Open in 2029.
Manila Metro Rail Transit System,Metro ManilaCentral LuzonCalabarzon,Partially operational,"$15,845,000,000","One line operational as of 2020. It is expected to have a total of eight lines with a total length of 142 km (88 mi), and to open from 2021 onward.[77][78][79][80][81][82]"
Masdar City,Abu Dhabi,Under Construction,"$22,000,000,000","The city will rely entirely on solar energy and other renewable energy sources, with a sustainable, zero-carbon, zero-waste ecology and will be a car free city."
Masjid Al-Haram,Mecca,Under Construction,"$100,000,000,000","The Saudi government is reportedly paying as high as 500,000 Saudi riyals (around $133,000) per square meter to the owners of the buildings close to the mosque in return for the expropriation. This brings the total figure to around $100 billion.  Slated to Completed by 2020."
Mercedes-Benz Stadium,"Atlanta, Georgia",Completed,"$1,600,000,000($1.67 billion in 2019 dollars[43])","An retractable-roof stadium that opened in 2017 as the new home of the Atlanta Falcons, as well as Atlanta United FC of Major League Soccer."
MetLife Stadium,"East Rutherford, New Jersey",Completed,"$1,600,000,000($1.88 billion in 2019 dollars[43])","An open-air stadium that opened in 2011 as the new home of two NFL teams, the New York Giants and New York Jets."
Metro Tunnel,"Melbourne, Victoria",Under Construction,"$11,000,000,000","To be completed late 2025. The line will run from South Kensington, underground via North Melbourne, Parkville, CBD, Domain and South Yarra. It will include a tunnel under the Yarra River."
Miami Worldcenter,"Miami, Florida",Construction in Progress,"$4,000,000,000","A large mixed-use development of over 25 acres of land on the north side of Downtown Miami. Eventually will include lots of shopping, apartment buildings, hotels, office buildings, and even a convention center. Though not much has been built as of yet, one notable building is Paramount Miami Worldcenter, which stands at 700 ft tall."
Million Programme,All of the country,Completed,neighborhood of $5 bn,1965–1975
Modderfontein New City — New Gauteng City,South Africa,Abandoned [120],"$7,800,000,000","Modderfontein infrastructure development of residential, industrial and commercial space by Chinese developer Shanghai Zendai. Start dated 2015 completion dated 15 to 20 years later.[121][122]"
Moscow International Business Center,Moscow,Under Construction,"$12,000,000,000","Construction on Plots 1, 2–3, 4 (Tower 1) & (Tower 2), 6–8, 9, 10, 11, 12, 13, 14, 16, and 19 is completed.  Construction on Plots 15 and 17–18 is in progress."
Movement of Kiruna Centrum,Kiruna,Under Development,"$2,100,000,000",Entire project to be completed between 2020 and 2021.[154]
Mumbai–Ahmedabad high-speed rail corridor,Multiplte States in India,Under construction,"$18,000,000,000+","Mumbai–Ahmedabad High Speed Rail Corridor is an under construction high-speed rail line connecting the cities of Ahmedabad, Gujarat, and India's economic hub Mumbai. When completed, it will be India's first high-speed rail line.[69]"
National Water Carrier of Israel,Completed,"~$1,100,000,000",Completed in 1956,
Navi Mumbai,India,Under Construction,"$13,346,000,000",World's largest planned city. Contains a population of 2.6 million.[131]
Navi Mumbai International Airport,"Navi Mumbai, Mumbai, Maharashtra",Under Construction,"$2,500,000,000+","The airport project, aimed at easing air traffic congestion at CSIA is expected to be completed by 2023.[65]"
Neom (Neo-Mustaqbal),Neom,In Development,"$500,000,000,000","Saudi Arabia's most ambitious mega-city project ever, which is to build a new city in northwestern Saudi Arabia.[147]  At the core of this new city will be Artificial Intelligence.[148]"
New Alamein City,Matrouh Governorate,Under Construction,"$60,000,000,000",Construction began in 2015 spread out over 3 phases.
New Champlain Bridge Corridor Project,"Montréal to Brossard, Québec",Completed,"$4,239,000,000","Construction completed 2019 with the full opening of the Samuel-de-Champlain Bridge by July 2019.  Shortly after the opening, the old Champlain Bridge will start to be demolished at a cost of about $400,000,000 and take 4 years to complete."
New Clark City,Tarlac and Pampanga,Under Construction,"$59,288,000,000","A 9,450-hectare planned city modeled after South Korea's Songdo City. Singapore's SSR C-Solar power plant will provide the city's power supply."
New International Airport for Mexico City,Mexico City,Cancelled,"$13,300,000,000","After taking office, President Andrés Manuel López Obrador, cancelled this mega-project at Texcoco in favor of a ""metropolitan airport system,"" which keeps the Benito Juárez International Airport (with 2 Runways) from being decommissioned and adds the now under construction Felipe Ángeles Airport (with 3 Runways) as well as Toluca International Airport (with 2 Runways)."
New Manila International Airport,Bulacan,Waiting approval,"$14,111,000,000",Aimed to decongest and eventually replace the Ninoy Aquino International Airport. It will be operated by the San Miguel Corporation.[83]
New Mansoura City,Cairo Governorate,Under Construction,"$3,700,000,000",Construction began in 2017.
New Port of Mariel Development Project,"Mariel, Artemisa",Completed,"$900,000,000[170]","Though the project falls $100 million short of the billion dollar mark, it still counts as mega project for Cuba the first of many in 50+ years."
New Suez Canal,Ismailia and Suez,Completed,"$8,400,000,000","In August 2014, work started on expanding the Suez Canal, dubbed the ""New Suez Canal"" was completed and opened on 6 August 2015."
Newark Airport Terminal One,"Newark, New Jersey",Under Construction,"$2,300,000,000","A redevelopment plan to build a new Terminal A to replace the existing, which opened in 1973. The new terminal will be called Terminal One. It will include a new parking garage, 33 gates, and a walkway to connect the Airtrain station, parking garage, and terminal. It is expected to be completed by 2022."
Nicaragua Canal,Proposed,"est. $100,000,000,000","Formally the Nicaraguan Canal and Development Project (also referred to as the Nicaragua Grand Canal, or the Grand Interoceanic Canal) is a planned shipping route  through Nicaragua to connect the Caribbean Sea (and therefore the Atlantic Ocean) with the Pacific Ocean. Its viability has been questioned by shipping experts and engineers[171]",
North East Link,"Melbourne, Victoria",Under Development,"$15,000,000.00",To be completed late 2027. This project will connect the M80 Ring Road to the Eastern Freeway.
North–South Commuter Railway,Metro ManilaCentral LuzonLaguna,Under Construction,"$14,950,000,000","Set to be fully operational by 2023, it will connect Clark International Airport with Metro Manila and Calabarzon.[84]"
Northvolt Gigafactory,Skellefteå & Västerås,Under Development,"$4,700,000,000",Lithium ion battery factory.[155]
Nuvali,Laguna,Under Construction,"2,290 hectare planned community in Santa Rosa, Laguna.",
O'Hare Modernization,"Chicago, Illinois",Under Construction,"$8,800,000,000","Construction began in 2001 with an initial cost of $6.6 billion, however, over the last few years, additions to the Modernization Plan brought on by the Chicago City Council's approval on new leases to American and United has increased to the cost by $2.2 billion, which will include a new terminal where Terminal 2 now, sits as well as two more remote concourses.  The completion of the O'Hare Modernization is expected to occur sometime in 2026."
Ohio River Bridges Project,"Louisville, Kentucky",Completed,"$2,300,000,000[112]","A Louisville metropolitan area transportation project involving the reconstruction of the Kennedy Interchange (locally known as ""Spaghetti Junction""), the completion of two new Ohio River bridges and the reconstruction of ramps on Interstate 65 between Muhammad Ali Boulevard and downtown."
Okhta Center,Saint Petersburg,Cancelled,"$2,500,000,000","Never built, will be replaced by the new project Lakhta Center"
OneSKY,"Canberra, ACT",Under Development,"$2,000,000,000",To be completed in 2024. National Air Traffic Control System Australia.[114]
Orange Line Metro,Lahore,Completed,"$1,500,000,000","Orange Line is an automated rapid transit system in Lahore, Punjab, PakistAN .When open in 2020, the line will be Pakistan's first metro in the entire country since the Karachi Metro that was started in 1969. Orange line is the first of the three proposed rail lines proposed for the Lahore Metro. The line will span 27.1 km (16.8 mi) with 25.4 km (15.8 mi) elevated and 1.72 km (1.1 mi) underground. The line will be served by 26 stations and is expected to handle 250,000 passenger daily."
Orotina Mega Airport,,,,
Pacific Park,"Brooklyn, New York City, New York",Under Construction,"$8,000,000,000","The project's centerpiece, Barclays Center, opened in September 2012.  The project name Atlantic Yards has been renamed Pacific Park, Brooklyn.  The Project is expected to be Completed by 2025 at the earliest."
Pak-US Knowledge Corridor,Pakistan and United States,Proposed,"Pak-Us Knowledge Corridor (PUKC) is a minister-proposed mega project. This project was proposed by the Minister for Planning and Development Ahsan Iqbal, the term US-Pakistan Knowledge Corridor, he used to boost cooperation between Pakistan and America in education sector.",
Palm Deira,Dubai,On-Hold,"Will be the largest palm island, in Dubai.",
Palm Jebel Ali,Dubai,On-Hold,"$4,000,000,000","Will accommodate over 250,000 people by 2020."
Palm Jumeirah,Dubai,Completed,"$12,300,000,000",It is the world's largest man-made island.
Panama Canal,Colón Province and Panamá Province,Completed,"$8,961,664,698.46","Originally constructed by the United States for about $360 million. Opened on 15 August 1914 with a series of locks, canals, and lakes which connect ships traveling between the Atlantic Ocean and the Pacific Ocean."
Panama Canal Expansion,Colón Province and Panamá Province,Completed,"$5,250,000,000",The Expansion Opened 26 June 2016.
Panama Metro line 1,Panama,Completed,"$1,800,000,000",
Panama metro line 2,Panama,Completed,"$2,000,000,000[91]",
Panama metro line 3,Panama,In planning,"$2,600,000,000[92]",
Pantai Indah Kapuk,Jakarta,Completed,"Pantai Indah Kapuk (PIK) is a well-planned model town in North Jakarta, spreading over 1200 hectares of land.",
Parkmerced,"San Francisco, California",Under Construction,"$1,350,000,000",Expected to be Completed by 2035.
Philippine National Railways intercity expansion,Central LuzonCalabarzonBicol RegionMindanao,Waiting approval,"$5,590,000,000+","Includes South Main Line rehabilitation,[85] the freight-only Subic–Clark Railway and the first phase of the Mindanao Railway expansion.[86]"
Pluit City,Jakarta Bay,Under Development,"Standing on 160 hectares of artificial/reclaimed land, located on an open water at Jakarta Bay, Pluit City is a stunning modern city that will become a valuable addition to the capital city of Jakarta.",
Port Covington,"Baltimore, Maryland",Under Construction,"$5,500,000,000",Groundbreaking began June 2019. Expected to be Completed by 2040.
Port Mann Bridge,"Vancouver, British Columbia",Completed,"$1,930,000,000","The widest bridge in the world (until the Bay Bridge's east span recently opened), the bridge east of Vancouver, B.C., which opened in 2012, remains the second-longest bridge in North America. The cable-stay bridge uses an impressive 288 cables to reach a total bridge length of 6,866 feet."
Port Muhammad Bin Qasim,Karachi,Completed,"A deep sea port located in Karachi, Sindh, Pakistan. Construction began in the 1970s during the rule Zulfikar Ali Bhutto to relieve the congestion of Karachi Port. Port Qasim, along with the port of Karachi, handle 90% of Pakistan's cargo",
Port of Karachi,Karachi,Completed,Completed during the British Raj. Busiest port in Pakistan.,
Port of Veracruz Expansion,Veracruz,Under Construction,"$5,000,000,000",
Port Tower Complex,Karachi,Under Development,"$350,000,000","A 593m tall skyscraper situated at Karachi Port Trust. The building will be located on its very own man-made island with other skyscrapers. It will be located along the Mai Kolachi Bypass. Once completed, it will be the tallest building in South Asia."
Porto Maravilha,Rio de Janeiro,Completed,"$35,700,000,000",Entire project to be completed by 2015.
Potsdamer Platz Redevelopment,Berlin,Completed,Project divided onto four parts in which four investors bids in turn.,
Proposed new capital of Egypt,Cairo Governorate,Under Construction,"$58,000,000,000","Construction began in 2015 and is spread out into three phases with Phase 1 expected to be completed sometime in 2022.  The full project is expected to be fully Completed by 2050, housing a population of 6,500,000 people."
Putrajaya,"Putrajaya, Sepang District",Completed,"$8,100,000,000",In 1999 most of the seats of government moved from Kuala Lumpur to Putrajaya.
Qatar Expressway Programme,Doha,Under Construction,US$28 billion (CAPEX),"Spread across 78 major projects, the Expressway Programme in one of the world's largest road infrastructure projects that will deliver more than 800 kilometres of new or upgraded roads and more than 200 interchanges for the rapidly developing State of Qatar.
Driven by Qatar National Vision 2030 and catering to the 2022 FIFA World Cup, the Public Works Authority, Ashghal, is working to create an infrastructure backbone designed to improve highway capacity, connectivity, and safety to meet current and future economic and social growth.[89]"
Queen's Wharf Brisbane,"Brisbane, Queensland",Under Construction,"$3,000,000,000",Integrated Resort Development located on the north bank of the Brisbane River in the Brisbane central business district. Entire project to be completed by 2024.[162]
Ravi Riverfront Development Project,Lahore,Under Development,"$7,000,000,000","Sprawling over an area of 70,000 acres, the RRDZ project entails high-quality residential, commercial, institutional, cultural and recreational zones along both sides of the river at a stretch of 33 km.[138] The riverfront will be dotted with highrise condominiums, modern piers, boardwalks and 70 percent area dedicated to trees to make it environment friendly.[139] Around 25,000 acres of riverfront would be sold to investors for business, cultural and lifestyle activities.[140]"
